sensor_id,metric_name,metric_value,ingestion_timestamp
SNS-7891,Vibration (mm/s),84.29,2026-03-07 03:14:52
SNS-5020,Power Consumption (kW),30.84,2026-03-03 07:58:50
SNS-4330,Temperature (C),53.38,2026-03-06 23:47:20
SNS-5813,Power Consumption (kW),22.31,2026-03-10 17:05:59
SNS-8708,Vibration (mm/s),76.53,2026-03-01 11:42:49
SNS-3881,Pressure (PSI),41.44,2026-03-14 16:30:59
SNS-4363,Temperature (C),77.6,2026-03-14 11:00:50
SNS-9495,Power Consumption (kW),50.67,2026-03-15 10:10:26
SNS-9992,Vibration (mm/s),52.78,2026-03-05 05:34:37
SNS-5370,Pressure (PSI),38.72,2026-03-16 14:03:47
SNS-0374,Vibration (mm/s),66.77,2026-03-05 06:09:28
SNS-7575,Power Consumption (kW),25.25,2026-03-08 19:00:59
SNS-6425,Pressure (PSI),24.8,2026-03-02 04:41:29
SNS-9475,Pressure (PSI),78.33,2026-03-09 16:28:03
SNS-9957,Pressure (PSI),58.28,2026-03-10 05:09:43
SNS-2732,Pressure (PSI),35.36,2026-03-15 02:02:46
SNS-8762,Temperature (C),62.59,2026-03-12 05:21:43
SNS-3196,Vibration (mm/s),75.0,2026-03-06 17:56:42
SNS-0245,Power Consumption (kW),29.4,2026-03-01 09:15:49
SNS-6919,Power Consumption (kW),80.13,2026-03-08 00:22:05
SNS-5094,Temperature (C),59.64,2026-03-01 23:28:47
SNS-7854,Power Consumption (kW),86.83,2026-03-04 04:09:44
SNS-8450,Pressure (PSI),36.42,2026-03-07 23:57:14
SNS-1228,Power Consumption (kW),17.75,2026-03-14 09:26:01
SNS-0022,Pressure (PSI),13.11,2026-03-13 21:45:12
SNS-1443,Pressure (PSI),12.9,2026-03-10 16:10:01
SNS-2869,Temperature (C),21.19,2026-03-07 23:17:11
SNS-3440,Temperature (C),55.13,2026-03-08 08:28:00
SNS-1149,Temperature (C),26.12,2026-03-17 08:50:19
SNS-0345,Pressure (PSI),93.56,2026-03-17 11:13:30
SNS-9744,Pressure (PSI),29.11,2026-03-14 01:47:43
SNS-1101,Vibration (mm/s),43.9,2026-03-13 03:40:25
SNS-1913,Vibration (mm/s),36.82,2026-03-01 00:56:03
SNS-8137,Temperature (C),70.13,2026-03-07 16:44:04
SNS-1790,Temperature (C),15.2,2026-03-08 05:00:11
SNS-3634,Power Consumption (kW),78.26,2026-03-06 06:36:39
SNS-1446,Vibration (mm/s),15.33,2026-03-15 10:38:43
SNS-7611,Pressure (PSI),61.58,2026-03-01 15:03:16
SNS-4183,Power Consumption (kW),23.31,2026-03-16 17:30:05
SNS-6980,Vibration (mm/s),19.99,2026-03-11 08:40:33
SNS-6569,Pressure (PSI),66.92,2026-03-01 21:00:52
SNS-2529,Pressure (PSI),44.3,2026-03-05 15:27:44
SNS-6129,Temperature (C),83.5,2026-03-17 17:28:17
SNS-1541,Power Consumption (kW),40.34,2026-03-07 05:21:04
SNS-4414,Temperature (C),69.6,2026-03-01 05:10:05
SNS-3433,Temperature (C),36.88,2026-03-11 07:05:42
SNS-6179,Pressure (PSI),53.32,2026-03-11 05:05:38
SNS-1138,Power Consumption (kW),74.3,2026-03-17 02:11:28
SNS-1504,Pressure (PSI),76.88,2026-03-07 18:20:13
SNS-1173,Temperature (C),24.38,2026-03-10 00:03:59
