sensor_id,temperature,vibration,pressure,timestamp
SENSOR_295,59.48,3.1772,930.9,2026-03-18 17:56:27
SENSOR_267,98.88,1.909,990.37,2026-03-18 17:56:27
SENSOR_228,61.6,4.3953,1013.33,2026-03-18 17:56:27
SENSOR_190,89.9,3.0386,1059.72,2026-03-18 17:56:27
SENSOR_704,66.39,2.1096,961.56,2026-03-18 17:56:27
SENSOR_610,76.42,3.1551,1060.32,2026-03-18 17:56:27
SENSOR_252,74.41,0.2605,990.81,2026-03-18 17:56:27
SENSOR_989,43.04,3.1213,1078.79,2026-03-18 17:56:27
SENSOR_709,29.89,0.9144,943.65,2026-03-18 17:56:27
SENSOR_859,73.45,1.8073,937.42,2026-03-18 17:56:27
SENSOR_761,34.52,0.2735,1077.12,2026-03-18 17:56:27
SENSOR_634,68.74,1.9156,1056.16,2026-03-18 17:56:27
SENSOR_730,91.93,4.3962,1040.08,2026-03-18 17:56:27
SENSOR_351,34.59,1.0251,1079.19,2026-03-18 17:56:27
SENSOR_227,57.79,3.4966,909.59,2026-03-18 17:56:27
SENSOR_187,57.04,0.9913,1056.78,2026-03-18 17:56:27
SENSOR_448,21.08,0.6988,1032.31,2026-03-18 17:56:27
SENSOR_223,77.06,1.3322,909.49,2026-03-18 17:56:27
SENSOR_908,41.89,2.3279,1069.48,2026-03-18 17:56:27
SENSOR_971,68.94,4.0668,943.51,2026-03-18 17:56:27
SENSOR_771,51.43,2.2752,908.73,2026-03-18 17:56:27
SENSOR_446,79.14,4.8204,1008.67,2026-03-18 17:56:27
SENSOR_184,67.64,3.9885,939.09,2026-03-18 17:56:27
SENSOR_211,85.98,4.3541,1051.71,2026-03-18 17:56:27
SENSOR_466,33.85,0.3993,1091.27,2026-03-18 17:56:27
SENSOR_378,42.77,3.2835,1068.21,2026-03-18 17:56:27
SENSOR_761,62.43,0.2872,964.85,2026-03-18 17:56:27
SENSOR_297,44.73,3.0901,1061.1,2026-03-18 17:56:27
SENSOR_456,94.15,1.1764,1098.58,2026-03-18 17:56:27
SENSOR_675,76.93,1.3275,1001.46,2026-03-18 17:56:27
SENSOR_840,68.31,0.1523,965.87,2026-03-18 17:56:27
SENSOR_494,91.48,3.1113,921.53,2026-03-18 17:56:27
SENSOR_170,96.9,0.6671,1070.81,2026-03-18 17:56:27
SENSOR_729,35.86,3.9879,1056.02,2026-03-18 17:56:27
SENSOR_922,48.91,1.0428,949.29,2026-03-18 17:56:27
SENSOR_979,89.42,4.7043,925.33,2026-03-18 17:56:27
SENSOR_753,46.25,4.661,1045.93,2026-03-18 17:56:27
SENSOR_686,78.01,3.6768,1002.12,2026-03-18 17:56:27
SENSOR_167,30.58,0.7029,1003.19,2026-03-18 17:56:27
SENSOR_767,82.33,1.1002,1065.6,2026-03-18 17:56:27
SENSOR_285,99.19,3.4097,948.53,2026-03-18 17:56:27
SENSOR_890,87.66,2.4719,971.52,2026-03-18 17:56:27
SENSOR_595,35.0,2.6993,1037.54,2026-03-18 17:56:27
SENSOR_420,53.18,2.0053,918.93,2026-03-18 17:56:27
SENSOR_699,58.78,4.8484,1002.91,2026-03-18 17:56:27
SENSOR_768,79.46,1.0083,994.77,2026-03-18 17:56:27
SENSOR_554,62.63,2.5227,996.31,2026-03-18 17:56:27
SENSOR_575,22.65,0.1374,988.04,2026-03-18 17:56:27
SENSOR_556,52.85,3.4601,984.58,2026-03-18 17:56:27
SENSOR_648,64.0,4.5333,907.53,2026-03-18 17:56:27
SENSOR_254,45.64,3.4076,991.92,2026-03-18 17:56:27
SENSOR_809,93.66,4.0564,974.41,2026-03-18 17:56:27
SENSOR_178,83.56,3.8914,922.82,2026-03-18 17:56:27
SENSOR_637,68.94,3.6568,973.11,2026-03-18 17:56:27
SENSOR_862,88.17,4.247,1051.9,2026-03-18 17:56:27
SENSOR_359,56.76,2.9002,1094.01,2026-03-18 17:56:27
SENSOR_974,65.26,4.1161,968.87,2026-03-18 17:56:27
SENSOR_600,46.73,0.5926,918.96,2026-03-18 17:56:27
SENSOR_728,96.1,1.0322,1088.01,2026-03-18 17:56:27
SENSOR_285,60.2,1.2847,1015.65,2026-03-18 17:56:27
SENSOR_808,84.88,2.1997,1012.74,2026-03-18 17:56:27
SENSOR_698,32.84,1.1864,1013.31,2026-03-18 17:56:27
SENSOR_341,74.36,0.6387,1060.3,2026-03-18 17:56:27
SENSOR_358,75.21,0.353,978.04,2026-03-18 17:56:27
